1234|Tom Thumb|2015-01-01|1330|1234-4321|1|10.00|2015-01-01
1234|Tom Thumb|2015-01-01|1442|5446-2523|1|10.00|2015-01-01
1234|Tom Thumb|2015-01-01|2481|7743-3456|1|10.00|2015-01-01
1234|Tom Thumb|2015-01-01|3174|2536-4566|1|10.00|2015-01-01
1235|Bill Smith|2015-02-01|2208|1234-4321|1|10.00|2015-01-01
1235|Bill Smith|2015-02-01|1442|5446-2523|1|10.00|2015-01-01
1235|Bill Smith|2015-02-01|2481|7743-3456|1|10.00|2015-01-01
1235|Bill Smith|2015-02-01|3174|2536-4566|1|10.00|2015-01-01
1236|Bill Smith|2015-03-01|1442|1234-4321|1|10.00|2015-01-01
1236|Bill Smith|2015-03-01|1330|5446-2523|1|10.00|2015-01-01
1236|Bill Smith|2015-03-01|2208|7743-3456|1|10.00|2015-01-01
1237|Tom Thumb|2015-05-01|2208|2536-4566|1|10.00|2015-01-01
1237|Tom Thumb|2015-05-01|3174|1234-4321|1|10.00|2015-01-01
1237|Tom Thumb|2015-05-01|2481|5446-2523|1|10.00|2015-01-01
